#lemma,wordnet_2.0,wordnet_3.0,POS,Cyc ID,Cyc name
borzoi,102007619,102090622,noun,Mx4rvhhOgZwpEbGdrcN5Y29ycA,Borzoi
orbit,201985717,202043982,verb,Mx4rvmlCvZwpEbGdrcN5Y29ycA,Orbiting
always,400019245,400019339,adv,Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViZjpwpEbGdrcN5Y29ycB4rvViAD5wpEbGdrcN5Y29ycB4rwF4t15wpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :GenericQuantity, :veryHighAmountOf, :TotallyOrderedQuantityType]"
court-martial,202424492,202499172,verb,Mx4rrHbZrLjHEdmAAAACs6hRjg,CourtMartial
till,201691439,201740608,verb,Mx4rvVjK_ZwpEbGdrcN5Y29ycA,TillingSoil
rowing,100422031,100445351,noun,Mx4rvVidsJwpEbGdrcN5Y29ycA,RowingSportsEvent
oust,202333839,202406449,verb,Mx4rymh17rglEdmAAAACs6hRjg,Ousting-ReplacingAnObject
lurk,202561585,202640053,verb,Mx4rdMZIZLaeEdmFRQACs6hRjg,Lurking
harm,200099811,200102586,verb,Mx4rvVjaq5wpEbGdrcN5Y29ycA,HarmingAnAgent
seminar,100838658,100892145,noun,Mx4rvtsTA5wpEbGdrcN5Y29ycA,SeminarSeries
petroleum,114129884,114980579,noun,Mx4rvVjb0JwpEbGdrcN5Y29ycA,Petroleum-CrudeOil
pot,103839570,103990474,noun,Mx4rvViUMJwpEbGdrcN5Y29ycA,StoveTopCookingPot
Montserrat,108177831,108711300,noun,Mx4rvsXyj5wpEbGdrcN5Y29ycA,Montserrat-Island
advise,200843872,200872886,verb,Mx4rvV-_fJwpEbGdrcN5Y29ycA,Advising
Asian,109033943,109641757,noun,Mx4rvVigfJwpEbGdrcN5Y29ycA,AsianCitizenOrSubject
sterilize,200059569,200061595,verb,Mx4rw4Ye5LKNEdmAhAACs6hRjg,SterilizingSomeone
congenital,301267284,301315844,adj,Mx4rg6978HS-EdaAAACgyZzFrg,Congenital
doll,103102095,103219135,noun,Mx4rvgEWHpwpEbGdrcN5Y29ycA,Doll-Toy
law_enforcement_agency,107841182,108348815,noun,Mx4rgYNZisiMEdmAAAACs6hRjg,LawEnforcementAgency
family,107488793,107970406,noun,Mx4rwPzc15wpEbGdrcN5Y29ycA,Family-SocialEntity
misconduct,101069948,101134330,noun,Mx4rv2UMRLvkEdmAAAACs6hRjg,Misconduct-Management
Saint_Kitts_and_Nevis,108429569,108987423,noun,Mx4rvViW75wpEbGdrcN5Y29ycA,SaintKitts-Nevis
popular,301755910,301815838,adj,Mx8Ngh4rvgDGhZwpEbGdrcN5Y29ycB4rvVi5XpwpEbGdrcN5Y29ycA,"[:HighAmountFn, :PopularityLevel]"
Windward_Islands,108212982,108749864,noun,Mx4rvVi8sJwpEbGdrcN5Y29ycA,WindwardIslands-WestIndies
angular_unit,112834123,113600097,noun,Mx4rvVirlJwpEbGdrcN5Y29ycA,UnitOfAngularDistance
Pecos,108799407,109388121,noun,Mx4rwB1M-pwpEbGdrcN5Y29ycA,PecosRiver
lifeguard,109598531,110260800,noun,Mx4rvVkBGJwpEbGdrcN5Y29ycA,Lifeguard
line_up,202622890,202704213,verb,Mx4rdpaZGrgLEdmAAAACs6hRjg,LiningUp-ArrangingObjects
Valentine_Day,114327678,115187250,noun,Mx4rvVjgYZwpEbGdrcN5Y29ycA,ValentinesDay
cod,107316491,107789063,noun,Mx4rvWfltZwpEbGdrcN5Y29ycA,CodFish
papillon,102004005,102086910,noun,Mx4rvvhJjZwpEbGdrcN5Y29ycA,Papillon
cornice,102998270,103111296,noun,Mx4roa13JLvTEdmAAAACs6hRjg,Cornice-WindowCasing
flashlight,103237142,103359137,noun,Mx4rvVjc1pwpEbGdrcN5Y29ycA,Flashlight
concert,106469093,106892775,noun,Mx4rvVjH1pwpEbGdrcN5Y29ycA,MusicalPerformance
bombard,201096712,201131902,verb,Mx4rwQri25wpEbGdrcN5Y29ycA,Bombing
ecology,105710760,106070929,noun,Mx4rwQCEJZwpEbGdrcN5Y29ycA,Ecology
smut,200086646,200089154,verb,Mx4rebvUtLKeEdmAhAACs6hRjg,InfectingWithSmut
necessitate,202556863,202635547,verb,Mx4rA-AaOLf_EdmAAAACs6hRjg,NecessitatingSomething
local_anesthetic,103544011,103681148,noun,Mx4rvVoehJwpEbGdrcN5Y29ycA,LocalAnesthetic
sugarcane,111385336,112132502,noun,Mx4rvVj4l5wpEbGdrcN5Y29ycA,SugarcanePlant
cupboard,103034346,103148324,noun,Mx4rvVic15wpEbGdrcN5Y29ycA,Closet
run,202016325,202075049,verb,Mx4r-Rna0bHSEdmAhAACs6hRjg,EscapingFromAPlace
bowling_ball,102780010,102882301,noun,Mx4rvVilK5wpEbGdrcN5Y29ycA,BowlingBall
blush,200100542,200103317,verb,Mx4rvVihi5wpEbGdrcN5Y29ycA,Blushing
meal,107106106,107573696,noun,Mx4rvVihC5wpEbGdrcN5Y29ycA,Meal
fell,201220231,201258302,verb,Mx4rvViu25wpEbGdrcN5Y29ycA,CuttingDownATree
Tongan,109132098,109750410,noun,Mx4rvVjF5JwpEbGdrcN5Y29ycA,TonganPerson
metatarsal,104973479,105277405,noun,Mx4rwOQVFZwpEbGdrcN5Y29ycA,Metatarsal
raft,103892996,104045397,noun,Mx4rwPz0OZwpEbGdrcN5Y29ycA,Raft
search,100888780,100945401,noun,Mx4rvVj7M5wpEbGdrcN5Y29ycA,LookingForSomething
anthracosis,113344380,114150210,noun,Mx4rceSC8ZICEdeELAADR6QijQ,BlackLungDisease
administer,202358802,202431971,verb,Mx4rgJtanLviEdmAAAACs6hRjg,Administration-Management
ledger,112645294,113404248,noun,Mx4rwP1Vk5wpEbGdrcN5Y29ycA,Ledger
political_unit,107852503,108359949,noun,Mx4rvViNy5wpEbGdrcN5Y29ycA,PoliticalOrganization
honk,106932810,107385249,noun,Mx4rvigt0pwpEbGdrcN5Y29ycA,HonkingSound
wire_cutter,104417001,104594828,noun,Mx4rv42HZJwpEbGdrcN5Y29ycA,WireCutter
break,200324471,200334996,verb,Mx4rvViUDZwpEbGdrcN5Y29ycA,BreakingEvent
roller_coaster,103947753,104102406,noun,Mx4rvgEDyZwpEbGdrcN5Y29ycA,RollerCoaster
animal,100012748,100015388,noun,Mx4rvVjgZpwpEbGdrcN5Y29ycA,NonPersonAnimal
nuclear_explosion,106955050,107408386,noun,Mx4rvsKidpwpEbGdrcN5Y29ycA,NuclearExplosion
apple,111885124,112633994,noun,Mx4rvVjBnZwpEbGdrcN5Y29ycA,AppleTree
distress_signal,106385703,106803636,noun,Mx4rmU8oNM39EdmAAAACs6hRjg,DistressSignal-PCW
canton,202395530,202469596,verb,Mx4rZLDuzrjBEdmAAAACs6hRjg,DividingIntoCantons
telephone,104230828,104401088,noun,Mx4rvVjTBZwpEbGdrcN5Y29ycA,Telephone
Vedic_literature,106064300,106464419,noun,Mx4r7UYmeMfpEdmAAAACs6hRjg,VedicLiterature
parachute,103741559,103888257,noun,Mx4rvwyd9pwpEbGdrcN5Y29ycA,Parachute
Zen,107607558,108099029,noun,Mx4rwRNg_5wpEbGdrcN5Y29ycA,ZenBuddhism
bronchus,105214871,105531511,noun,Mx4rvVjuT5wpEbGdrcN5Y29ycA,BronchialTube
crop,201532631,201576165,verb,Mx4rwQrefpwpEbGdrcN5Y29ycA,Grazing
Medieval_Greek,106550499,106977190,noun,Mx4rvVihPZwpEbGdrcN5Y29ycA,ByzantineGreekLanguage
Latvia,108454116,109013074,noun,Mx4rv21mhZwpEbGdrcN5Y29ycA,Latvia
Hays,110318987,111036521,noun,Mx4rK89m6MbSEdmAAAACs6hRjg,ArthurGarfieldHays-Lawyer
boot,102771183,102872752,noun,Mx4rvVisaJwpEbGdrcN5Y29ycA,Boot-Footwear
repayment,112543444,113299651,noun,Mx4rvpz69ZwpEbGdrcN5Y29ycA,LoanRepaying
fascinated,300830036,300865848,adj,Mx4rJjZF9m6PEdaAAACgyZzFrg,InAHypnoticTrance
custom-made,300641877,300672226,adj,Mx4rwFKtwpwpEbGdrcN5Y29ycA,Custom-Made
probability,104813740,105091770,noun,Mx4rvVjfYJwpEbGdrcN5Y29ycA,ProbabilityInterval
gloss,201634483,201682582,verb,Mx4rvVjq2ZwpEbGdrcN5Y29ycA,PolishingSomething
ailment,113253840,114055408,noun,Mx4rwQwYVpwpEbGdrcN5Y29ycA,AilmentCondition
fabrication,100857645,100912001,noun,Mx4rvVizqpwpEbGdrcN5Y29ycA,Assembling
anticonvulsant,102624793,102718469,noun,Mx4rvVoFpJwpEbGdrcN5Y29ycA,Anticonvulsant
cat,102037721,102121620,noun,Mx4rvVkFc5wpEbGdrcN5Y29ycA,Cat
cobra,101668812,101747885,noun,Mx4rvViTDJwpEbGdrcN5Y29ycA,Cobra
give,200105694,200108604,verb,Mx4rBVybkLKFEdmAhAACs6hRjg,Giving-Offering-CommunicationAct
basswood,111455282,112203331,noun,Mx8Ngh4rvVio85wpEbGdrcN5Y29ycB4rvViqd5wpEbGdrcN5Y29ycA,"[:WoodFn, :LindenTree]"
silicosis,113344782,114150612,noun,Mx4rceQ00pICEdeELAADR6QijQ,Silicosis
buskin,102821597,103027625,noun,Mx4rwPvAbJwpEbGdrcN5Y29ycA,CombatBoot
firewood,114245821,115100644,noun,Mx4rwPRtUZwpEbGdrcN5Y29ycA,Firewood
rear,103906474,104059701,noun,Mx4rvVkEjZwpEbGdrcN5Y29ycA,BackSide
mudguard,103654377,103796605,noun,Mx4rvVjgopwpEbGdrcN5Y29ycA,Fender-AutoBodyPart
